sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,18100,138000,156100,03/20/2023,2022
Communic/Electronics,B,7500,1000,8500,03/20/2023,2022
Construction,C,59076,8500,67576,03/20/2023,2022
Defense,D,20950,13500,34450,03/20/2023,2022
Energy/Nat Resource,E,5500,21000,26500,03/20/2023,2022
Finance/Insur/RealEst,F,58043,41500,99543,03/20/2023,2022
Health,H,18350,10000,28350,03/20/2023,2022
Lawyers & Lobbyists,K,6500,12500,19000,03/20/2023,2022
Transportation,M,12650,8500,21150,03/20/2023,2022
Misc Business,N,20200,6500,26700,03/20/2023,2022
Labor,P,0,3000,3000,03/20/2023,2022
Ideology/Single-Issue,Q,25300,86900,112200,03/20/2023,2022
Other,W,78550,0,78550,03/20/2023,2022
