sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,1000,30500,31500,06/10/2019,2018
Communic/Electronics,B,20050,38000,58050,06/10/2019,2018
Construction,C,16200,41500,57700,06/10/2019,2018
Defense,D,9850,12500,22350,06/10/2019,2018
Energy/Nat Resource,E,91900,63900,155800,06/10/2019,2018
Finance/Insur/RealEst,F,47650,12000,59650,06/10/2019,2018
Health,H,1300,13000,14300,06/10/2019,2018
Lawyers & Lobbyists,K,82876,25550,108426,06/10/2019,2018
Transportation,M,45300,77000,122300,06/10/2019,2018
Misc Business,N,65146,26061,91207,06/10/2019,2018
Labor,P,1700,140000,141700,06/10/2019,2018
Ideology/Single-Issue,Q,18850,77700,96550,06/10/2019,2018
Other,W,71060,1000,72060,06/10/2019,2018
