sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,230035,158500,388535,06/10/2019,2018
Communic/Electronics,B,88410,111200,199610,06/10/2019,2018
Construction,C,122859,53500,176359,06/10/2019,2018
Defense,D,8600,31500,40100,06/10/2019,2018
Energy/Nat Resource,E,218248,148500,366748,06/10/2019,2018
Finance/Insur/RealEst,F,1120251,553382,1673633,06/10/2019,2018
Health,H,299189,180766,479955,06/10/2019,2018
Lawyers & Lobbyists,K,326650,66500,393150,06/10/2019,2018
Transportation,M,90350,105000,195350,06/10/2019,2018
Misc Business,N,502955,130600,633555,06/10/2019,2018
Labor,P,2000,3000,5000,06/10/2019,2018
Ideology/Single-Issue,Q,703177,421384,1124561,06/10/2019,2018
Other,W,495800,13750,509550,06/10/2019,2018
