sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,14600,5000,19600,03/20/2023,2022
Communic/Electronics,B,19500,13500,33000,03/20/2023,2022
Construction,C,16900,50000,66900,03/20/2023,2022
Defense,D,2000,0,2000,03/20/2023,2022
Energy/Nat Resource,E,12100,1000,13100,03/20/2023,2022
Finance/Insur/RealEst,F,165550,18000,183550,03/20/2023,2022
Health,H,42349,15000,57349,03/20/2023,2022
Lawyers & Lobbyists,K,47330,22500,69830,03/20/2023,2022
Transportation,M,3900,2500,6400,03/20/2023,2022
Misc Business,N,26125,17500,43625,03/20/2023,2022
Labor,P,0,196500,196500,03/20/2023,2022
Ideology/Single-Issue,Q,70475,108900,179375,03/20/2023,2022
Other,W,198091,1500,199591,03/20/2023,2022
