sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,500,2500,3000,03/20/2023,2022
Communic/Electronics,B,84175,92800,176975,03/20/2023,2022
Construction,C,7050,17500,24550,03/20/2023,2022
Defense,D,69300,224550,293850,03/20/2023,2022
Energy/Nat Resource,E,24800,13750,38550,03/20/2023,2022
Finance/Insur/RealEst,F,67300,60500,127800,03/20/2023,2022
Health,H,34540,28000,62540,03/20/2023,2022
Lawyers & Lobbyists,K,74750,24000,98750,03/20/2023,2022
Transportation,M,7450,75000,82450,03/20/2023,2022
Misc Business,N,50050,27500,77550,03/20/2023,2022
Labor,P,1000,139000,140000,03/20/2023,2022
Ideology/Single-Issue,Q,37249,30862,68111,03/20/2023,2022
Other,W,87219,0,87219,03/20/2023,2022
