sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,500,71000,71500,06/10/2019,2018
Communic/Electronics,B,3775,98000,101775,06/10/2019,2018
Construction,C,1000,1000,2000,06/10/2019,2018
Defense,D,0,13000,13000,06/10/2019,2018
Energy/Nat Resource,E,0,37000,37000,06/10/2019,2018
Finance/Insur/RealEst,F,3015,42000,45015,06/10/2019,2018
Health,H,20018,158200,178218,06/10/2019,2018
Lawyers & Lobbyists,K,14336,19000,33336,06/10/2019,2018
Transportation,M,2700,61148,63848,06/10/2019,2018
Misc Business,N,5601,66500,72101,06/10/2019,2018
Labor,P,5000,70500,75500,06/10/2019,2018
Ideology/Single-Issue,Q,3000,19798,22798,06/10/2019,2018
Other,W,16688,1000,17688,06/10/2019,2018
