sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,21325,6000,27325,03/20/2023,2022
Communic/Electronics,B,116571,141320,257891,03/20/2023,2022
Construction,C,19330,2000,21330,03/20/2023,2022
Energy/Nat Resource,E,6565,0,6565,03/20/2023,2022
Finance/Insur/RealEst,F,271084,39500,310584,03/20/2023,2022
Health,H,23142,23000,46142,03/20/2023,2022
Lawyers & Lobbyists,K,332816,37000,369816,03/20/2023,2022
Transportation,M,9005,58500,67505,03/20/2023,2022
Misc Business,N,137764,36000,173764,03/20/2023,2022
Labor,P,736,145500,146236,03/20/2023,2022
Ideology/Single-Issue,Q,64463,93172,157635,03/20/2023,2022
Other,W,243639,1500,245139,03/20/2023,2022
