sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,494723,114200,608923,03/20/2023,2022
Communic/Electronics,B,1345491,254750,1600241,03/20/2023,2022
Construction,C,199611,28500,228111,03/20/2023,2022
Defense,D,107689,176500,284189,03/20/2023,2022
Energy/Nat Resource,E,169578,134750,304328,03/20/2023,2022
Finance/Insur/RealEst,F,3333023,970410,4303433,03/20/2023,2022
Health,H,1061337,420250,1481587,03/20/2023,2022
Lawyers & Lobbyists,K,3171720,144950,3316670,03/20/2023,2022
Transportation,M,182760,250500,433260,03/20/2023,2022
Misc Business,N,1385985,195724,1581709,03/20/2023,2022
Labor,P,27544,280200,307744,03/20/2023,2022
Ideology/Single-Issue,Q,1918427,687153,2605580,03/20/2023,2022
Other,W,4532840,2500,4535340,03/20/2023,2022
