sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,7250,4000,11250,06/10/2019,2018
Communic/Electronics,B,970,76500,77470,06/10/2019,2018
Construction,C,2500,32000,34500,06/10/2019,2018
Defense,D,0,20000,20000,06/10/2019,2018
Energy/Nat Resource,E,26050,94500,120550,06/10/2019,2018
Finance/Insur/RealEst,F,26250,56500,82750,06/10/2019,2018
Health,H,5950,95500,101450,06/10/2019,2018
Lawyers & Lobbyists,K,39340,18500,57840,06/10/2019,2018
Transportation,M,5400,32000,37400,06/10/2019,2018
Misc Business,N,9935,37231,47166,06/10/2019,2018
Labor,P,0,2500,2500,06/10/2019,2018
Ideology/Single-Issue,Q,28395,65862,94257,06/10/2019,2018
Other,W,36886,0,36886,06/10/2019,2018
