sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,19700,39134,58834,06/10/2019,2018
Communic/Electronics,B,20550,100000,120550,06/10/2019,2018
Construction,C,83000,33500,116500,06/10/2019,2018
Defense,D,29000,99000,128000,06/10/2019,2018
Energy/Nat Resource,E,57150,108700,165850,06/10/2019,2018
Finance/Insur/RealEst,F,211830,107500,319330,06/10/2019,2018
Health,H,29578,28000,57578,06/10/2019,2018
Lawyers & Lobbyists,K,98300,29600,127900,06/10/2019,2018
Transportation,M,48855,106700,155555,06/10/2019,2018
Misc Business,N,89045,99000,188045,06/10/2019,2018
Labor,P,0,17000,17000,06/10/2019,2018
Ideology/Single-Issue,Q,53900,28250,82150,06/10/2019,2018
Other,W,96575,0,96575,06/10/2019,2018
