sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,3450,2000,5450,06/10/2019,2018
Communic/Electronics,B,44450,18410,62860,06/10/2019,2018
Construction,C,3500,2500,6000,06/10/2019,2018
Defense,D,0,8500,8500,06/10/2019,2018
Energy/Nat Resource,E,500,1000,1500,06/10/2019,2018
Finance/Insur/RealEst,F,106250,38000,144250,06/10/2019,2018
Health,H,28525,74000,102525,06/10/2019,2018
Lawyers & Lobbyists,K,67133,11000,78133,06/10/2019,2018
Transportation,M,10201,14500,24701,06/10/2019,2018
Misc Business,N,24500,59319,83819,06/10/2019,2018
Labor,P,0,90700,90700,06/10/2019,2018
Ideology/Single-Issue,Q,13050,9500,22550,06/10/2019,2018
Other,W,124274,0,124274,06/10/2019,2018
