sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,13800,49115,62915,03/20/2023,2022
Communic/Electronics,B,2650,7500,10150,03/20/2023,2022
Construction,C,28121,30000,58121,03/20/2023,2022
Defense,D,4200,7000,11200,03/20/2023,2022
Energy/Nat Resource,E,40895,40000,80895,03/20/2023,2022
Finance/Insur/RealEst,F,177545,17000,194545,03/20/2023,2022
Health,H,42048,5000,47048,03/20/2023,2022
Lawyers & Lobbyists,K,32870,6400,39270,03/20/2023,2022
Transportation,M,6747,49900,56647,03/20/2023,2022
Misc Business,N,52097,17000,69097,03/20/2023,2022
Labor,P,0,24000,24000,03/20/2023,2022
Ideology/Single-Issue,Q,33155,56334,89489,03/20/2023,2022
Other,W,147584,0,147584,03/20/2023,2022
