sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,23734,10586,34320,06/10/2019,2018
Communic/Electronics,B,36342,16500,52842,06/10/2019,2018
Construction,C,58711,16250,74961,06/10/2019,2018
Defense,D,81,87000,87081,06/10/2019,2018
Energy/Nat Resource,E,19246,56500,75746,06/10/2019,2018
Finance/Insur/RealEst,F,149828,72500,222328,06/10/2019,2018
Health,H,30602,33500,64102,06/10/2019,2018
Lawyers & Lobbyists,K,90166,30250,120416,06/10/2019,2018
Transportation,M,1171,47500,48671,06/10/2019,2018
Misc Business,N,95726,79116,174842,06/10/2019,2018
Labor,P,1016,248500,249516,06/10/2019,2018
Ideology/Single-Issue,Q,22671,21525,44196,06/10/2019,2018
Other,W,69981,1000,70981,06/10/2019,2018
