sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,18119,12000,30119,06/10/2019,2018
Communic/Electronics,B,64508,98999,163507,06/10/2019,2018
Construction,C,88523,51100,139623,06/10/2019,2018
Defense,D,114977,281600,396577,06/10/2019,2018
Energy/Nat Resource,E,14704,28750,43454,06/10/2019,2018
Finance/Insur/RealEst,F,458507,462000,920507,06/10/2019,2018
Health,H,52759,154500,207259,06/10/2019,2018
Lawyers & Lobbyists,K,647548,110070,757618,06/10/2019,2018
Transportation,M,30768,63500,94268,06/10/2019,2018
Misc Business,N,163499,125100,288599,06/10/2019,2018
Labor,P,9600,234750,244350,06/10/2019,2018
Ideology/Single-Issue,Q,70625,318843,389468,06/10/2019,2018
Other,W,252205,6000,258205,06/10/2019,2018
