sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,17300,31200,48500,06/10/2019,2018
Communic/Electronics,B,17450,25500,42950,06/10/2019,2018
Construction,C,113410,61900,175310,06/10/2019,2018
Defense,D,4010,86000,90010,06/10/2019,2018
Energy/Nat Resource,E,22960,56006,78966,06/10/2019,2018
Finance/Insur/RealEst,F,248448,185800,434248,06/10/2019,2018
Health,H,42755,87700,130455,06/10/2019,2018
Lawyers & Lobbyists,K,196814,34050,230864,06/10/2019,2018
Transportation,M,36200,31200,67400,06/10/2019,2018
Misc Business,N,68283,53900,122183,06/10/2019,2018
Labor,P,0,306800,306800,06/10/2019,2018
Ideology/Single-Issue,Q,5900,34450,40350,06/10/2019,2018
Other,W,84662,0,84662,06/10/2019,2018
