sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,1777,3000,4777,06/10/2019,2018
Communic/Electronics,B,30488,47000,77488,06/10/2019,2018
Construction,C,27034,9500,36534,06/10/2019,2018
Defense,D,2772,60000,62772,06/10/2019,2018
Energy/Nat Resource,E,6779,15000,21779,06/10/2019,2018
Finance/Insur/RealEst,F,112570,81500,194070,06/10/2019,2018
Health,H,38129,62000,100129,06/10/2019,2018
Lawyers & Lobbyists,K,587245,17000,604245,06/10/2019,2018
Transportation,M,16654,47500,64154,06/10/2019,2018
Misc Business,N,41468,43000,84468,06/10/2019,2018
Labor,P,1518,310500,312018,06/10/2019,2018
Ideology/Single-Issue,Q,38641,322549,361190,06/10/2019,2018
Other,W,98690,2000,100690,06/10/2019,2018
