sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,4740,37500,42240,03/20/2023,2022
Communic/Electronics,B,174697,67060,241757,03/20/2023,2022
Construction,C,22266,41500,63766,03/20/2023,2022
Defense,D,4200,22000,26200,03/20/2023,2022
Energy/Nat Resource,E,20163,38500,58663,03/20/2023,2022
Finance/Insur/RealEst,F,532292,235998,768290,03/20/2023,2022
Health,H,150667,89500,240167,03/20/2023,2022
Lawyers & Lobbyists,K,305735,31241,336976,03/20/2023,2022
Transportation,M,39954,99900,139854,03/20/2023,2022
Misc Business,N,223035,188900,411935,03/20/2023,2022
Labor,P,2275,211500,213775,03/20/2023,2022
Ideology/Single-Issue,Q,964294,387057,1351351,03/20/2023,2022
Other,W,625290,2000,627290,03/20/2023,2022
