sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,538794,438098,976892,06/10/2019,2018
Communic/Electronics,B,287825,397400,685225,06/10/2019,2018
Construction,C,352812,179100,531912,06/10/2019,2018
Defense,D,62326,181000,243326,06/10/2019,2018
Energy/Nat Resource,E,375203,425300,800503,06/10/2019,2018
Finance/Insur/RealEst,F,2079237,822800,2902037,06/10/2019,2018
Health,H,714379,755000,1469379,06/10/2019,2018
Lawyers & Lobbyists,K,1036424,233488,1269912,06/10/2019,2018
Transportation,M,487936,406100,894036,06/10/2019,2018
Misc Business,N,1174383,721300,1895683,06/10/2019,2018
Labor,P,0,93000,93000,06/10/2019,2018
Ideology/Single-Issue,Q,416763,779524,1196287,06/10/2019,2018
Other,W,910213,59000,969213,06/10/2019,2018
