sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,35677,23000,58677,06/10/2019,2018
Communic/Electronics,B,3528,16000,19528,06/10/2019,2018
Construction,C,109475,27500,136975,06/10/2019,2018
Defense,D,2700,0,2700,06/10/2019,2018
Energy/Nat Resource,E,18700,27500,46200,06/10/2019,2018
Finance/Insur/RealEst,F,150415,63500,213915,06/10/2019,2018
Health,H,140828,14000,154828,06/10/2019,2018
Lawyers & Lobbyists,K,35700,5500,41200,06/10/2019,2018
Transportation,M,56600,23000,79600,06/10/2019,2018
Misc Business,N,189709,62000,251709,06/10/2019,2018
Labor,P,0,3000,3000,06/10/2019,2018
Ideology/Single-Issue,Q,150918,99200,250118,06/10/2019,2018
Other,W,238567,0,238567,06/10/2019,2018
