sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,5700,86000,91700,06/10/2019,2018
Communic/Electronics,B,4000,92000,96000,06/10/2019,2018
Construction,C,29050,32500,61550,06/10/2019,2018
Defense,D,1000,18000,19000,06/10/2019,2018
Energy/Nat Resource,E,32950,232100,265050,06/10/2019,2018
Finance/Insur/RealEst,F,54200,91000,145200,06/10/2019,2018
Health,H,20020,215343,235363,06/10/2019,2018
Lawyers & Lobbyists,K,49250,12250,61500,06/10/2019,2018
Transportation,M,11950,79500,91450,06/10/2019,2018
Misc Business,N,43662,93500,137162,06/10/2019,2018
Labor,P,1250,4000,5250,06/10/2019,2018
Ideology/Single-Issue,Q,106450,81990,188440,06/10/2019,2018
Other,W,12800,1000,13800,06/10/2019,2018
