sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,0,59300,59300,03/20/2023,2022
Communic/Electronics,B,25700,241670,267370,03/20/2023,2022
Construction,C,2500,41000,43500,03/20/2023,2022
Defense,D,0,12000,12000,03/20/2023,2022
Energy/Nat Resource,E,5250,229500,234750,03/20/2023,2022
Finance/Insur/RealEst,F,117900,164500,282400,03/20/2023,2022
Health,H,57250,342900,400150,03/20/2023,2022
Lawyers & Lobbyists,K,103950,32250,136200,03/20/2023,2022
Transportation,M,11250,82800,94050,03/20/2023,2022
Misc Business,N,44100,89000,133100,03/20/2023,2022
Labor,P,0,7500,7500,03/20/2023,2022
Ideology/Single-Issue,Q,76300,134302,210602,03/20/2023,2022
Other,W,58900,4000,62900,03/20/2023,2022
