sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,4400,32000,36400,03/20/2023,2022
Communic/Electronics,B,51550,130370,181920,03/20/2023,2022
Construction,C,1100,36000,37100,03/20/2023,2022
Defense,D,7483,70000,77483,03/20/2023,2022
Energy/Nat Resource,E,22645,96000,118645,03/20/2023,2022
Finance/Insur/RealEst,F,192500,211500,404000,03/20/2023,2022
Health,H,178885,400200,579085,03/20/2023,2022
Lawyers & Lobbyists,K,148069,29250,177319,03/20/2023,2022
Transportation,M,7300,39500,46800,03/20/2023,2022
Misc Business,N,43115,117000,160115,03/20/2023,2022
Labor,P,0,56500,56500,03/20/2023,2022
Ideology/Single-Issue,Q,159940,47412,207352,03/20/2023,2022
Other,W,141927,-1000,140927,03/20/2023,2022
