sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,16141,29500,45641,06/10/2019,2018
Communic/Electronics,B,97369,164200,261569,06/10/2019,2018
Construction,C,92475,24500,116975,06/10/2019,2018
Defense,D,20274,107500,127774,06/10/2019,2018
Energy/Nat Resource,E,40843,49700,90543,06/10/2019,2018
Finance/Insur/RealEst,F,318435,149500,467935,06/10/2019,2018
Health,H,68494,110000,178494,06/10/2019,2018
Lawyers & Lobbyists,K,755621,81550,837171,06/10/2019,2018
Transportation,M,77816,100752,178568,06/10/2019,2018
Misc Business,N,192577,144500,337077,06/10/2019,2018
Labor,P,5555,308510,314065,06/10/2019,2018
Ideology/Single-Issue,Q,144606,363499,508105,06/10/2019,2018
Other,W,428717,1000,429717,06/10/2019,2018
