sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,4816,5000,9816,03/20/2023,2022
Communic/Electronics,B,45162,22000,67162,03/20/2023,2022
Construction,C,8800,1000,9800,03/20/2023,2022
Energy/Nat Resource,E,3250,5400,8650,03/20/2023,2022
Finance/Insur/RealEst,F,75249,26800,102049,03/20/2023,2022
Health,H,44815,18500,63315,03/20/2023,2022
Lawyers & Lobbyists,K,89716,10000,99716,03/20/2023,2022
Transportation,M,1775,12500,14275,03/20/2023,2022
Misc Business,N,44021,15000,59021,03/20/2023,2022
Labor,P,0,172400,172400,03/20/2023,2022
Ideology/Single-Issue,Q,65067,156900,221967,03/20/2023,2022
Other,W,119555,1000,120555,03/20/2023,2022
