industry_code,industry_name,indivs,pacs,total,last_updated,cycle
E01,Oil & Gas,35450,104400,139850,03/20/2023,2022
K01,Lawyers/Law Firms,88525,22250,110775,03/20/2023,2022
F10,Real Estate,46675,39500,86175,03/20/2023,2022
H04,Pharmaceuticals/Health Products,0,81000,81000,03/20/2023,2022
E08,Electric Utilities,1000,77000,78000,03/20/2023,2022
F07,Securities & Investment,30650,31500,62150,03/20/2023,2022
H03,Health Services/HMOs,5800,52000,57800,03/20/2023,2022
D01,Defense Aerospace,3100,51500,54600,03/20/2023,2022
W06,Retired,45908,0,45908,03/20/2023,2022
H01,Health Professionals,20200,24500,44700,03/20/2023,2022
