industry_code,industry_name,indivs,pacs,total,last_updated,cycle
F09,Insurance,5165,72750,77915,03/20/2023,2022
F03,Commercial Banks,7925,63500,71425,03/20/2023,2022
P04,Public Sector Unions,0,49500,49500,03/20/2023,2022
F07,Securities & Investment,24600,23500,48100,03/20/2023,2022
P02,Industrial Unions,0,45500,45500,03/20/2023,2022
F10,Real Estate,18000,21500,39500,03/20/2023,2022
P01,Building Trade Unions,0,37500,37500,03/20/2023,2022
F06,Finance/Credit Companies,1000,32500,33500,03/20/2023,2022
K01,Lawyers/Law Firms,11850,15500,27350,03/20/2023,2022
H01,Health Professionals,5300,22000,27300,03/20/2023,2022
