industry_code,industry_name,indivs,pacs,total,last_updated,cycle
Q05,Pro-Israel,271591,5200,276791,03/20/2023,2022
H01,Health Professionals,47210,181500,228710,03/20/2023,2022
F09,Insurance,53250,172000,225250,03/20/2023,2022
E08,Electric Utilities,9000,179000,188000,03/20/2023,2022
F07,Securities & Investment,69300,117500,186800,03/20/2023,2022
F10,Real Estate,55102,82500,137602,03/20/2023,2022
K01,Lawyers/Law Firms,62220,75250,137470,03/20/2023,2022
P04,Public Sector Unions,0,112500,112500,03/20/2023,2022
W06,Retired,111338,0,111338,03/20/2023,2022
K02,Lobbyists,99300,0,99300,03/20/2023,2022
