industry_code,industry_name,indivs,pacs,total,last_updated,cycle
Q02,Democratic/Liberal,5800,15000,20800,03/20/2023,2022
P01,Building Trade Unions,0,16000,16000,03/20/2023,2022
Q16,Candidate Committees,0,11000,11000,03/20/2023,2022
F10,Real Estate,5800,5000,10800,03/20/2023,2022
P04,Public Sector Unions,0,7000,7000,03/20/2023,2022
Q09,Human Rights,0,5000,5000,03/20/2023,2022
F05,Credit Unions,0,5000,5000,03/20/2023,2022
Q03,Leadership PACs,0,4500,4500,03/20/2023,2022
W06,Retired,4500,0,4500,03/20/2023,2022
B08,Telephone Utilities,0,3000,3000,03/20/2023,2022
