industry_code,industry_name,indivs,pacs,total,last_updated,cycle
W06,Retired,430536,0,430536,03/20/2023,2022
F07,Securities & Investment,326036,21000,347036,03/20/2023,2022
F10,Real Estate,111200,17000,128200,03/20/2023,2022
F09,Insurance,22261,96500,118761,03/20/2023,2022
Q03,Leadership PACs,0,92000,92000,03/20/2023,2022
Q05,Pro-Israel,64100,24200,88300,03/20/2023,2022
M01,Air Transport,1000,85500,86500,03/20/2023,2022
K01,Lawyers/Law Firms,57150,21250,78400,03/20/2023,2022
N15,Misc Manufacturing & Distributing,47500,17000,64500,03/20/2023,2022
B12,Electronics Mfg & Equip,15200,47500,62700,03/20/2023,2022
