industry_code,industry_name,indivs,pacs,total,last_updated,cycle
Q03,Leadership PACs,0,286000,286000,03/20/2023,2022
D03,Misc Defense,161100,103700,264800,03/20/2023,2022
F10,Real Estate,226066,31000,257066,03/20/2023,2022
K02,Lobbyists,193614,4500,198114,03/20/2023,2022
F07,Securities & Investment,169100,4500,173600,03/20/2023,2022
W06,Retired,166007,0,166007,03/20/2023,2022
Q05,Pro-Israel,117427,10400,127827,03/20/2023,2022
M01,Air Transport,49850,68000,117850,03/20/2023,2022
Q01,Republican/Conservative,68522,24254,92776,03/20/2023,2022
D02,Defense Electronics,36700,49400,86100,03/20/2023,2022
