industry_code,industry_name,indivs,pacs,total,last_updated,cycle
P04,Public Sector Unions,0,39500,39500,03/20/2023,2022
P03,Transportation Unions,0,38500,38500,03/20/2023,2022
P01,Building Trade Unions,0,35000,35000,03/20/2023,2022
P02,Industrial Unions,0,32000,32000,03/20/2023,2022
B09,Telecom Services,0,27500,27500,03/20/2023,2022
K01,Lawyers/Law Firms,3358,23750,27108,03/20/2023,2022
A01,Crop Production & Basic Processing,0,20000,20000,03/20/2023,2022
P05,Misc Unions,0,17500,17500,03/20/2023,2022
H04,Pharmaceuticals/Health Products,0,17000,17000,03/20/2023,2022
B02,TV/Movies/Music,510,16000,16510,03/20/2023,2022
