industry_code,industry_name,indivs,pacs,total,last_updated,cycle
F07,Securities & Investment,758285,186750,945035,03/20/2023,2022
W06,Retired,879091,0,879091,03/20/2023,2022
K02,Lobbyists,443061,5000,448061,03/20/2023,2022
Q03,Leadership PACs,0,440500,440500,03/20/2023,2022
F10,Real Estate,328726,88500,417226,03/20/2023,2022
F09,Insurance,98678,254400,353078,03/20/2023,2022
H01,Health Professionals,107335,221750,329085,03/20/2023,2022
K01,Lawyers/Law Firms,203645,102750,306395,03/20/2023,2022
H04,Pharmaceuticals/Health Products,42993,242900,285893,03/20/2023,2022
Q01,Republican/Conservative,276324,6000,282324,03/20/2023,2022
