industry_code,industry_name,indivs,pacs,total,last_updated,cycle
F07,Securities & Investment,202244,58500,260744,03/20/2023,2022
Q10,Misc Issues,182399,10500,192899,03/20/2023,2022
E01,Oil & Gas,15100,172000,187100,03/20/2023,2022
F10,Real Estate,109967,57000,166967,03/20/2023,2022
Q03,Leadership PACs,19185,137202,156387,03/20/2023,2022
W06,Retired,141018,0,141018,03/20/2023,2022
Q05,Pro-Israel,103781,12000,115781,03/20/2023,2022
F06,Finance/Credit Companies,26701,79000,105701,03/20/2023,2022
K01,Lawyers/Law Firms,75574,27750,103324,03/20/2023,2022
H01,Health Professionals,68663,33400,102063,03/20/2023,2022
