industry_code,industry_name,indivs,pacs,total,last_updated,cycle
W06,Retired,199353,0,199353,03/20/2023,2022
F07,Securities & Investment,132500,0,132500,03/20/2023,2022
Q01,Republican/Conservative,77543,19000,96543,03/20/2023,2022
H01,Health Professionals,59722,25500,85222,03/20/2023,2022
F10,Real Estate,76400,6000,82400,03/20/2023,2022
F03,Commercial Banks,33940,6000,39940,03/20/2023,2022
C01,General Contractors,35850,2500,38350,03/20/2023,2022
Q05,Pro-Israel,26200,11500,37700,03/20/2023,2022
M02,Automotive,21700,11000,32700,03/20/2023,2022
N02,"Beer, Wine & Liquor",17500,12000,29500,03/20/2023,2022
