industry_code,industry_name,indivs,pacs,total,last_updated,cycle
H01,Health Professionals,63631,67000,130631,03/20/2023,2022
F10,Real Estate,42186,38000,80186,03/20/2023,2022
W06,Retired,71375,0,71375,03/20/2023,2022
F09,Insurance,8925,48500,57425,03/20/2023,2022
P04,Public Sector Unions,0,49000,49000,03/20/2023,2022
K01,Lawyers/Law Firms,32822,12500,45322,03/20/2023,2022
P01,Building Trade Unions,0,42500,42500,03/20/2023,2022
P05,Misc Unions,0,34500,34500,03/20/2023,2022
P02,Industrial Unions,0,29900,29900,03/20/2023,2022
F07,Securities & Investment,12600,16000,28600,03/20/2023,2022
