industry_code,industry_name,indivs,pacs,total,last_updated,cycle
W06,Retired,625917,0,625917,03/20/2023,2022
Q03,Leadership PACs,51185,363703,414888,03/20/2023,2022
Q02,Democratic/Liberal,308630,75884,384514,03/20/2023,2022
F07,Securities & Investment,371517,0,371517,03/20/2023,2022
F10,Real Estate,153090,29500,182590,03/20/2023,2022
K01,Lawyers/Law Firms,138793,18000,156793,03/20/2023,2022
Q16,Candidate Committees,4501,140932,145433,03/20/2023,2022
W04,Education,118510,0,118510,03/20/2023,2022
Q05,Pro-Israel,102548,14700,117248,03/20/2023,2022
H01,Health Professionals,73442,41000,114442,03/20/2023,2022
