industry_code,industry_name,indivs,pacs,total,last_updated,cycle
F07,Securities & Investment,622556,262400,884956,03/20/2023,2022
F09,Insurance,153760,348900,502660,03/20/2023,2022
Q03,Leadership PACs,0,489200,489200,03/20/2023,2022
F10,Real Estate,297806,126000,423806,03/20/2023,2022
K02,Lobbyists,403492,1000,404492,03/20/2023,2022
H04,Pharmaceuticals/Health Products,136625,253400,390025,03/20/2023,2022
F03,Commercial Banks,65758,228500,294258,03/20/2023,2022
H03,Health Services/HMOs,182766,96000,278766,03/20/2023,2022
E01,Oil & Gas,134404,117583,251987,03/20/2023,2022
K01,Lawyers/Law Firms,118133,89649,207782,03/20/2023,2022
