industry_code,industry_name,indivs,pacs,total,last_updated,cycle
F07,Securities & Investment,1181829,116300,1298129,03/20/2023,2022
W06,Retired,1214536,0,1214536,03/20/2023,2022
K01,Lawyers/Law Firms,465103,124500,589603,03/20/2023,2022
F10,Real Estate,472519,91500,564019,03/20/2023,2022
H01,Health Professionals,214703,288500,503203,03/20/2023,2022
F09,Insurance,184113,272300,456413,03/20/2023,2022
H03,Health Services/HMOs,205356,169500,374856,03/20/2023,2022
K02,Lobbyists,337698,6000,343698,03/20/2023,2022
H04,Pharmaceuticals/Health Products,123952,212800,336752,03/20/2023,2022
Q03,Leadership PACs,0,317000,317000,03/20/2023,2022
