industry_code,industry_name,indivs,pacs,total,last_updated,cycle
F10,Real Estate,89750,79500,169250,03/20/2023,2022
F09,Insurance,26000,122000,148000,03/20/2023,2022
F07,Securities & Investment,74450,40000,114450,03/20/2023,2022
F03,Commercial Banks,48950,47500,96450,03/20/2023,2022
W06,Retired,82856,0,82856,03/20/2023,2022
K01,Lawyers/Law Firms,52350,7250,59600,03/20/2023,2022
H02,Hospitals/Nursing Homes,5500,53500,59000,03/20/2023,2022
M02,Automotive,29850,27500,57350,03/20/2023,2022
H01,Health Professionals,34050,14500,48550,03/20/2023,2022
K02,Lobbyists,43500,0,43500,03/20/2023,2022
