industry_code,industry_name,indivs,pacs,total,last_updated,cycle
Q02,Democratic/Liberal,20915174,95837,21011011,03/20/2023,2022
W06,Retired,10835137,0,10835137,03/20/2023,2022
W04,Education,9146039,0,9146039,03/20/2023,2022
K01,Lawyers/Law Firms,6752560,23800,6776360,03/20/2023,2022
H01,Health Professionals,5120648,5000,5125648,03/20/2023,2022
B12,Electronics Mfg & Equip,3318338,0,3318338,03/20/2023,2022
W03,Civil Servants/Public Officials,3220726,0,3220726,03/20/2023,2022
F07,Securities & Investment,2889697,0,2889697,03/20/2023,2022
B02,TV/Movies/Music,2596108,0,2596108,03/20/2023,2022
F10,Real Estate,2591549,0,2591549,03/20/2023,2022
