industry_code,industry_name,indivs,pacs,total,last_updated,cycle
H01,Health Professionals,24923,96500,121423,03/20/2023,2022
W06,Retired,108610,0,108610,03/20/2023,2022
K02,Lobbyists,106211,1000,107211,03/20/2023,2022
K01,Lawyers/Law Firms,45645,57150,102795,03/20/2023,2022
F10,Real Estate,76975,23500,100475,03/20/2023,2022
D01,Defense Aerospace,65480,16000,81480,03/20/2023,2022
P03,Transportation Unions,0,75000,75000,03/20/2023,2022
P04,Public Sector Unions,0,70500,70500,03/20/2023,2022
W02,Non-Profit Institutions,44420,22500,66920,03/20/2023,2022
W04,Education,66637,0,66637,03/20/2023,2022
