industry_code,industry_name,indivs,pacs,total,last_updated,cycle
Q01,Republican/Conservative,42365,19000,61365,03/20/2023,2022
N07,Casinos/Gambling,55100,0,55100,03/20/2023,2022
Q03,Leadership PACs,0,54000,54000,03/20/2023,2022
F10,Real Estate,43200,7000,50200,03/20/2023,2022
K02,Lobbyists,43800,0,43800,03/20/2023,2022
W06,Retired,41830,0,41830,03/20/2023,2022
H01,Health Professionals,29000,10000,39000,03/20/2023,2022
C05,Building Materials & Equipment,5800,21000,26800,03/20/2023,2022
E01,Oil & Gas,2900,23000,25900,03/20/2023,2022
M01,Air Transport,2000,22000,24000,03/20/2023,2022
