industry_code,industry_name,indivs,pacs,total,last_updated,cycle
W06,Retired,807290,0,807290,03/20/2023,2022
Q03,Leadership PACs,10567,638600,649167,03/20/2023,2022
A01,Crop Production & Basic Processing,278223,175000,453223,03/20/2023,2022
E01,Oil & Gas,235984,146200,382184,03/20/2023,2022
F07,Securities & Investment,276809,17000,293809,03/20/2023,2022
F10,Real Estate,216071,51000,267071,03/20/2023,2022
K01,Lawyers/Law Firms,154528,109500,264028,03/20/2023,2022
K02,Lobbyists,208798,9058,217856,03/20/2023,2022
H01,Health Professionals,110941,91800,202741,03/20/2023,2022
D03,Misc Defense,100933,85500,186433,03/20/2023,2022
