industry_code,industry_name,indivs,pacs,total,last_updated,cycle
F10,Real Estate,71933,23500,95433,03/20/2023,2022
F09,Insurance,28050,55400,83450,03/20/2023,2022
W06,Retired,82659,0,82659,03/20/2023,2022
E01,Oil & Gas,28633,44700,73333,03/20/2023,2022
F07,Securities & Investment,64127,2500,66627,03/20/2023,2022
A01,Crop Production & Basic Processing,19650,35694,55344,03/20/2023,2022
H01,Health Professionals,22775,31900,54675,03/20/2023,2022
Q03,Leadership PACs,0,50900,50900,03/20/2023,2022
E08,Electric Utilities,1000,48000,49000,03/20/2023,2022
H04,Pharmaceuticals/Health Products,500,44000,44500,03/20/2023,2022
