industry_code,industry_name,indivs,pacs,total,last_updated,cycle
W06,Retired,85906,0,85906,03/20/2023,2022
Q01,Republican/Conservative,44950,15500,60450,03/20/2023,2022
Q03,Leadership PACs,0,46500,46500,03/20/2023,2022
F10,Real Estate,33650,5000,38650,03/20/2023,2022
A06,Livestock,26548,1000,27548,03/20/2023,2022
E01,Oil & Gas,14350,13122,27472,03/20/2023,2022
H01,Health Professionals,16500,10000,26500,03/20/2023,2022
N01,Food & Beverage,12884,0,12884,03/20/2023,2022
K01,Lawyers/Law Firms,12700,0,12700,03/20/2023,2022
F09,Insurance,7180,5000,12180,03/20/2023,2022
