industry_code,industry_name,indivs,pacs,total,last_updated,cycle
W06,Retired,4719287,0,4719287,03/20/2023,2022
Q02,Democratic/Liberal,4022458,38800,4061258,03/20/2023,2022
W04,Education,2446194,0,2446194,03/20/2023,2022
K01,Lawyers/Law Firms,2310113,48300,2358413,03/20/2023,2022
F07,Securities & Investment,2081101,0,2081101,03/20/2023,2022
H01,Health Professionals,1238364,2000,1240364,03/20/2023,2022
F10,Real Estate,1220685,2500,1223185,03/20/2023,2022
B12,Electronics Mfg & Equip,954517,0,954517,03/20/2023,2022
N05,Business Services,885815,0,885815,03/20/2023,2022
W03,Civil Servants/Public Officials,866098,0,866098,03/20/2023,2022
