industry_code,industry_name,indivs,pacs,total,last_updated,cycle
W06,Retired,84993,0,84993,03/20/2023,2022
K01,Lawyers/Law Firms,47675,23500,71175,03/20/2023,2022
P04,Public Sector Unions,500,55500,56000,03/20/2023,2022
H01,Health Professionals,11515,44000,55515,03/20/2023,2022
N15,Misc Manufacturing & Distributing,16150,26000,42150,03/20/2023,2022
B12,Electronics Mfg & Equip,22050,14000,36050,03/20/2023,2022
P01,Building Trade Unions,0,36000,36000,03/20/2023,2022
K02,Lobbyists,29000,5000,34000,03/20/2023,2022
M01,Air Transport,0,27500,27500,03/20/2023,2022
F09,Insurance,257,26500,26757,03/20/2023,2022
