industry_code,industry_name,indivs,pacs,total,last_updated,cycle
F09,Insurance,9050,138500,147550,03/20/2023,2022
F10,Real Estate,21355,64500,85855,03/20/2023,2022
F07,Securities & Investment,23750,59500,83250,03/20/2023,2022
K02,Lobbyists,76600,0,76600,03/20/2023,2022
K01,Lawyers/Law Firms,59450,16250,75700,03/20/2023,2022
H01,Health Professionals,11779,57500,69279,03/20/2023,2022
H04,Pharmaceuticals/Health Products,500,52500,53000,03/20/2023,2022
H03,Health Services/HMOs,1025,42500,43525,03/20/2023,2022
P04,Public Sector Unions,0,43000,43000,03/20/2023,2022
P05,Misc Unions,0,42400,42400,03/20/2023,2022
