industry_code,industry_name,indivs,pacs,total,last_updated,cycle
K01,Lawyers/Law Firms,65066,10000,75066,03/20/2023,2022
P01,Building Trade Unions,0,62900,62900,03/20/2023,2022
Q02,Democratic/Liberal,30916,30500,61416,03/20/2023,2022
W06,Retired,52191,0,52191,03/20/2023,2022
Q03,Leadership PACs,0,45500,45500,03/20/2023,2022
F10,Real Estate,44300,0,44300,03/20/2023,2022
H01,Health Professionals,28775,12000,40775,03/20/2023,2022
B02,TV/Movies/Music,25812,12500,38312,03/20/2023,2022
Q09,Human Rights,9941,26300,36241,03/20/2023,2022
P05,Misc Unions,0,36000,36000,03/20/2023,2022
