industry_code,industry_name,indivs,pacs,total,last_updated,cycle
Q03,Leadership PACs,0,228193,228193,03/20/2023,2022
F10,Real Estate,153656,39500,193156,03/20/2023,2022
W06,Retired,186283,0,186283,03/20/2023,2022
H04,Pharmaceuticals/Health Products,17202,159500,176702,03/20/2023,2022
F07,Securities & Investment,120535,8500,129035,03/20/2023,2022
H01,Health Professionals,17602,95000,112602,03/20/2023,2022
F09,Insurance,29750,74500,104250,03/20/2023,2022
E01,Oil & Gas,10933,78000,88933,03/20/2023,2022
M02,Automotive,27900,58500,86400,03/20/2023,2022
K02,Lobbyists,80020,1500,81520,03/20/2023,2022
