industry_code,industry_name,indivs,pacs,total,last_updated,cycle
W06,Retired,360413,0,360413,03/20/2023,2022
Q03,Leadership PACs,0,246200,246200,03/20/2023,2022
F07,Securities & Investment,187218,27500,214718,03/20/2023,2022
F10,Real Estate,140406,35500,175906,03/20/2023,2022
Q01,Republican/Conservative,79419,27250,106669,03/20/2023,2022
F09,Insurance,27901,54900,82801,03/20/2023,2022
E01,Oil & Gas,68724,13000,81724,03/20/2023,2022
K01,Lawyers/Law Firms,43484,3000,46484,03/20/2023,2022
F03,Commercial Banks,13961,32000,45961,03/20/2023,2022
Q16,Candidate Committees,0,42500,42500,03/20/2023,2022
