industry_code,industry_name,indivs,pacs,total,last_updated,cycle
W06,Retired,1486219,0,1486219,03/20/2023,2022
F07,Securities & Investment,983970,142500,1126470,03/20/2023,2022
F10,Real Estate,759446,70802,830248,03/20/2023,2022
F09,Insurance,246306,287200,533506,03/20/2023,2022
H04,Pharmaceuticals/Health Products,158296,285350,443646,03/20/2023,2022
K01,Lawyers/Law Firms,351323,84000,435323,03/20/2023,2022
Q03,Leadership PACs,0,423900,423900,03/20/2023,2022
H01,Health Professionals,248235,173500,421735,03/20/2023,2022
H03,Health Services/HMOs,270291,121800,392091,03/20/2023,2022
K02,Lobbyists,307981,8936,316917,03/20/2023,2022
