industry_code,industry_name,indivs,pacs,total,last_updated,cycle
W06,Retired,335774,0,335774,03/20/2023,2022
Q03,Leadership PACs,18700,182400,201100,03/20/2023,2022
K01,Lawyers/Law Firms,179330,10000,189330,03/20/2023,2022
Q02,Democratic/Liberal,83365,55500,138865,03/20/2023,2022
F07,Securities & Investment,95058,0,95058,03/20/2023,2022
W04,Education,90224,0,90224,03/20/2023,2022
F10,Real Estate,74725,8800,83525,03/20/2023,2022
H01,Health Professionals,52328,28500,80828,03/20/2023,2022
Q16,Candidate Committees,0,75209,75209,03/20/2023,2022
W02,Non-Profit Institutions,53900,0,53900,03/20/2023,2022
