industry_code,industry_name,indivs,pacs,total,last_updated,cycle
F07,Securities & Investment,77800,105500,183300,03/20/2023,2022
F09,Insurance,18500,162000,180500,03/20/2023,2022
W06,Retired,179544,0,179544,03/20/2023,2022
H01,Health Professionals,9189,130400,139589,03/20/2023,2022
B12,Electronics Mfg & Equip,82323,48200,130523,03/20/2023,2022
F10,Real Estate,46801,71500,118301,03/20/2023,2022
H04,Pharmaceuticals/Health Products,9475,97500,106975,03/20/2023,2022
Q02,Democratic/Liberal,53540,13000,66540,03/20/2023,2022
K01,Lawyers/Law Firms,30925,24000,54925,03/20/2023,2022
M01,Air Transport,2667,42000,44667,03/20/2023,2022
